"spkid","name","pha","epoch","a","e","i","w","om","ma","H","G","GM"
20008566,,Y,2460600.5,1.506,0.4302,37.97,125.13,164.12,90.11,16.48,,
20008567,,N,2460600.5,2.045,0.4493,8.45,177.30,177.10,179.54,15.36,,
20008709,Kadlu,N,2460600.5,2.526,0.4925,3.53,153.85,118.97,182.31,17.07,,
20009058,,N,2460600.5,1.557,0.3596,16.09,307.06,218.30,284.90,17.93,,
20009162,Kwiila,N,2460600.5,1.497,0.5956,9.01,235.83,179.99,77.31,18.02,,
20009172,Abhramu,N,2460600.5,2.709,0.5527,7.84,74.17,287.57,318.40,16.64,,
20009202,,N,2460600.5,1.424,0.6078,40.80,212.36,315.89,225.05,16.12,,
20009400,,N,2460600.5,2.587,0.5809,36.00,62.14,3.36,51.21,14.84,,
20009856,,Y,2460600.5,2.242,0.6258,9.83,116.18,168.11,314.61,17.11,,
20009950,ESA,N,2460600.5,2.438,0.5327,14.60,103.60,253.45,331.06,16.21,,
20010115,,Y,2460600.5,1.249,0.3250,15.32,233.69,8.89,84.54,17.12,,
20010145,,N,2460600.5,1.901,0.6326,4.55,27.45,328.38,348.39,17.01,,
20010150,,N,2460600.5,2.375,0.5440,45.95,234.04,112.97,67.70,15.47,,
20010165,,N,2460600.5,1.235,0.5037,23.90,348.46,312.42,91.71,17.36,,
20010302,,N,2460600.5,1.273,0.1370,4.38,183.65,104.27,206.92,19.45,,
20010563,Izhdubar,N,2460600.5,1.007,0.2662,63.47,132.20,56.56,106.82,16.94,,
20010636,,N,2460600.5,1.884,0.5129,13.58,286.31,172.93,359.24,17.70,,
20010860,,N,2460600.5,2.578,0.5740,4.15,75.53,257.19,16.39,17.32,,
20011054,,N,2460600.5,1.979,0.4467,3.08,92.34,339.05,74.07,17.07,,
20011066,Sigurd,N,2460600.5,1.392,0.3754,36.88,22.03,349.22,75.15,15.23,,
20011284,Belenus,N,2460600.5,1.74,0.3373,1.99,171.13,311.71,44.40,18.26,,
20011311,Peleus,N,2460600.5,2.117,0.5359,25.49,313.45,59.32,26.51,15.87,,
20011398,,N,2460600.5,1.721,0.3895,15.02,74.76,144.74,107.00,16.41,,
20011405,,N,2460600.5,1.46,0.3939,22.86,96.40,141.25,153.90,15.27,,
20011500,Tomaiyowit,Y,2460600.5,1.08,0.3558,10.31,289.52,234.39,323.61,18.37,,
20011885,Summanus,N,2460600.5,1.703,0.4744,19.43,116.20,359.78,59.35,18.52,,
20012538,,Y,2460600.5,1.542,0.4058,24.54,321.79,220.69,317.04,15.97,,
20012711,Tukmit,N,2460600.5,1.186,0.2722,38.49,322.88,294.96,291.28,16.04,,
20012923,Zephyr,Y,2460600.5,1.963,0.4918,5.30,147.13,168.17,51.56,15.82,,
20013553,Masaakikoyama,N,2460600.5,2.189,0.4637,5.88,109.95,193.46,333.19,16.54,,
20013651,,Y,2460600.5,1.335,0.3057,17.25,133.86,116.63,262.62,17.89,,
20014402,,N,2460600.5,1.715,0.4016,11.41,51.55,158.14,325.50,18.77,,
20014827,Hypnos,Y,2460600.5,2.841,0.6649,1.98,238.19,57.93,21.63,18.75,,
20015745,Yuliya,N,2460600.5,1.72,0.2555,14.43,140.66,132.58,284.35,17.41,,
20015817,Lucianotesi,N,2460600.5,1.324,0.1182,13.87,94.29,162.47,340.12,18.47,,
20016064,Davidharvey,N,2460600.5,2.849,0.5894,4.54,104.75,335.55,43.97,16.86,,
20016636,,N,2460600.5,2.31,0.4677,7.21,47.38,296.77,314.66,18.78,,
20016657,,N,2460600.5,2.277,0.4608,24.95,21.30,31.19,356.33,16.69,,
20016816,,N,2460600.5,1.442,0.6038,25.92,158.01,37.14,95.46,16.26,,
20016834,,N,2460600.5,1.468,0.4421,16.00,334.39,260.76,247.48,15.80,,
20016912,Rhiannon,N,2460600.5,1.751,0.2726,24.52,221.25,169.17,284.67,17.91,,
20016960,,Y,2460600.5,2.201,0.8590,17.52,243.25,260.15,308.68,14.42,,
20017181,,N,2460600.5,2.37,0.6740,10.65,36.78,113.56,275.92,16.78,,
20017182,,N,2460600.5,1.387,0.5533,9.26,203.23,333.48,25.70,17.14,,
20017188,,N,2460600.5,2.216,0.6369,29.45,287.25,269.76,172.44,16.40,,
20017274,,N,2460600.5,2.731,0.5539,5.57,21.35,305.70,129.39,16.87,,
20017511,,N,2460600.5,1.19,0.3587,9.58,202.44,355.89,10.89,17.32,,
20018106,Blume,N,2460600.5,2.443,0.5120,4.22,234.96,109.17,112.61,17.78,,
20018109,,N,2460600.5,1.881,0.3679,0.81,319.26,59.54,117.48,17.19,,
20018172,,N,2460600.5,2.425,0.5111,17.83,100.71,338.45,102.38,15.69,,
20018736,,N,2460600.5,2.349,0.4910,2.81,222.92,297.43,199.67,15.99,,
20018882,,N,2460600.5,1.685,0.2320,36.81,242.69,291.67,49.89,16.15,,
20019356,,N,2460600.5,2.512,0.5576,3.01,334.13,186.48,354.22,17.01,,
20019764,,N,2460600.5,2.235,0.4428,1.33,9.75,281.40,106.69,16.11,,
20020086,,N,2460600.5,3.176,0.6253,21.79,57.78,237.14,116.25,16.68,,
20020236,,N,2460600.5,2.034,0.5610,6.51,104.58,111.23,42.72,17.70,,
20020255,,N,2460600.5,2.151,0.4922,9.96,17.56,180.93,144.77,18.45,,
20020425,,Y,2460600.5,1.565,0.4764,6.99,296.32,227.25,32.70,20.51,,
20020429,,N,2460600.5,1.556,0.4642,6.30,147.72,61.73,42.37,17.73,,
20020460,Robwhiteley,N,2460600.5,1.877,0.4116,33.95,283.75,279.99,343.48,15.42,,
20020790,,N,2460600.5,2.753,0.5561,8.29,168.95,302.85,80.23,16.64,,
20020826,,N,2460600.5,2.418,0.6362,31.92,198.70,347.28,93.36,13.89,,
20021088,Chelyabinsk,N,2460600.5,1.706,0.2384,38.45,27.16,297.83,28.40,14.42,,
20021277,,N,2460600.5,2.378,0.5204,20.95,250.16,167.35,206.86,16.18,,
20021374,,N,2460600.5,1.269,0.1207,23.98,197.28,59.19,89.26,17.45,,
20022099,,N,2460600.5,1.104,0.2762,9.85,186.56,136.43,320.17,18.09,,
20022753,,Y,2460600.5,1.219,0.5699,3.20,324.80,307.36,165.33,17.69,,
20022771,,N,2460600.5,1.576,0.5243,11.40,305.83,338.91,256.93,16.96,,
20023183,,N,2460600.5,1.824,0.4009,40.97,301.48,119.63,239.12,16.07,,
20023187,,Y,2460600.5,1.847,0.5893,51.33,293.53,164.29,167.50,16.06,,
20023548,,N,2460600.5,2.289,0.5180,23.44,124.29,345.85,313.15,17.13,,
20023606,,N,2460600.5,1.75,0.3611,14.36,357.59,296.61,350.36,18.39,,
20023714,,N,2460600.5,2.13,0.5162,8.41,129.34,127.61,164.63,16.85,,
20024443,,N,2460600.5,2.311,0.8224,25.74,231.22,178.08,307.38,16.42,,
20024445,,N,2460600.5,2.211,0.5459,23.78,219.08,203.16,119.45,14.70,,
20024475,,N,2460600.5,1.975,0.4415,14.63,32.69,76.40,213.81,16.40,,
20024761,Ahau,N,2460600.5,1.335,0.3058,21.92,287.55,121.04,245.98,17.37,,
20025143,Itokawa,Y,2460600.5,1.324,0.2803,1.62,162.82,69.08,142.57,19.26,,2.1e-9
20025330,,N,2460600.5,1.541,0.3708,14.33,86.10,50.52,129.11,16.74,,
20025916,,N,2460600.5,2.559,0.4991,15.76,199.69,94.64,186.18,13.78,,
20026166,,N,2460600.5,3.302,0.6445,14.79,62.87,185.70,331.54,16.82,,
20026310,,N,2460600.5,2.139,0.4690,5.38,98.89,210.82,143.89,19.28,,
20026379,,N,2460600.5,1.606,0.5763,8.68,200.60,252.10,239.86,18.20,,
20026663,,Y,2460600.5,1.546,0.4717,13.53,231.23,303.59,108.78,18.19,,
20026760,,N,2460600.5,2.853,0.5571,11.02,155.16,146.26,289.19,15.50,,
