"spkid","name","pha","epoch","a","e","i","w","om","ma","H","G","GM"
3789719,,N,2458083.5,1.413,0.7121,40.18,63.95,240.18,30.39,26.00,,
3789718,,N,2460600.5,1.469,0.2570,7.28,3.13,73.17,304.54,24.20,,
3789717,,N,2458080.5,1.588,0.3521,7.87,183.60,236.09,0.57,26.78,,
3789724,,Y,2460600.5,1.274,0.5365,30.64,79.03,246.83,332.24,21.55,,
3789722,,N,2460600.5,0.9361,0.1918,8.96,300.31,242.08,122.25,25.04,,
3789723,,N,2458084.5,2.352,0.5665,2.24,347.72,65.18,2.72,27.50,,
3789748,,N,2460600.5,1.21,0.2185,29.88,73.92,60.49,11.19,23.77,,
3789742,,N,2458084.5,1.768,0.4299,26.39,134.14,241.80,17.75,24.10,,
3789741,,N,2460600.5,1.076,0.2469,5.20,90.61,243.00,122.95,27.90,,
3789743,,N,2460600.5,1.262,0.1995,6.52,23.55,64.59,292.96,27.50,,
3789740,,N,2458083.5,2.653,0.7419,12.15,279.50,65.71,10.55,26.40,,
3789739,,N,2458084.5,1.886,0.5986,5.34,281.60,67.95,19.15,26.20,,
3789746,,N,2458084.5,1.96,0.5460,6.02,114.64,251.33,16.52,24.50,,
3789747,,N,2460600.5,0.9126,0.4221,11.46,127.43,64.14,243.21,25.70,,
3789744,,N,2460600.5,1.109,0.2668,6.72,279.03,61.15,18.04,26.70,,
3789745,,N,2458085.5,2.183,0.5345,6.01,202.61,245.85,353.90,26.30,,
3789972,,N,2460600.5,1.484,0.1326,16.78,123.13,242.50,332.48,23.21,,
3789973,,N,2458083.5,1.356,0.3756,18.85,247.00,248.01,326.91,24.50,,
3790055,,N,2460600.5,1.558,0.3639,5.62,214.29,247.87,177.86,26.10,,
3790056,,N,2460600.5,2.332,0.5012,18.73,346.50,72.71,340.68,21.50,,
3790057,,N,2460600.5,2.52,0.6025,0.92,171.32,252.34,260.08,27.60,,
3790058,,Y,2460600.5,1.723,0.4142,10.07,11.43,327.20,75.89,19.80,,
3790059,,N,2460600.5,1.852,0.4501,5.70,152.26,338.02,242.96,22.75,,
3790060,,N,2460600.5,1.176,0.8010,10.08,6.55,263.01,188.90,20.92,,
3790063,,N,2460600.5,1.477,0.2813,41.98,205.83,241.11,287.80,22.30,,
3790064,,N,2458085.5,1.251,0.1633,24.29,219.68,245.05,330.70,25.30,,
3790065,,N,2460600.5,0.8997,0.1315,5.76,36.12,242.78,161.26,28.10,,
3790123,,N,2458079.5,1.507,0.2924,26.26,248.39,60.42,80.31,21.50,,
3790125,,N,2458079.5,2.932,0.7306,39.05,75.91,243.22,19.55,21.50,,
3790124,,N,2460600.5,1.924,0.4035,8.04,359.08,321.47,260.09,20.80,,
3791284,,N,2460600.5,2.306,0.5925,15.75,262.85,332.56,320.51,18.25,,
3791315,,N,2458085.5,2.407,0.5333,0.60,134.53,267.21,6.33,24.96,,
3791316,,N,2458084.5,0.9707,0.4083,4.62,53.84,245.35,80.04,26.18,,
3791317,,N,2458083.5,1.865,0.5861,0.95,320.38,30.12,19.04,26.18,,
3796296,,N,2458083.5,2.123,0.6728,1.02,73.95,65.20,345.82,31.81,,
3796297,,N,2458085.5,1.344,0.3172,0.92,195.65,288.29,328.65,26.46,,
3790126,,Y,2460600.5,2.374,0.6008,33.64,318.64,48.44,327.05,20.02,,
3790131,,N,2460600.5,1.512,0.3509,5.56,159.26,258.13,256.73,26.00,,
3790132,,N,2458096.5,1.143,0.4852,13.50,277.74,266.08,307.13,23.70,,
3791014,,N,2458095.5,0.9495,0.6979,1.40,355.98,219.66,298.15,23.80,,
3791015,,N,2460600.5,0.793,0.3418,14.86,27.88,257.37,23.06,22.70,,
3791243,,Y,2460600.5,0.8094,0.2016,17.18,327.62,239.62,12.33,21.30,,
3791242,,N,2460600.5,1.818,0.4073,12.07,20.49,94.53,268.94,22.03,,
3791245,,N,2460600.5,1.785,0.2989,41.09,329.40,72.04,321.25,20.69,,
3791241,,N,2460600.5,1.473,0.3405,7.52,135.26,253.70,322.90,25.42,,
3791244,,N,2458096.5,2.143,0.6992,0.41,108.94,241.30,15.40,25.80,,
3791251,,N,2458096.5,2.616,0.5240,4.21,189.66,258.19,355.37,23.20,,
3791246,,N,2460600.5,1.86,0.5177,4.90,246.49,251.95,233.50,24.88,,
3791248,,N,2460600.5,1.393,0.2139,16.69,337.43,78.70,74.44,24.20,,
3791247,,N,2460600.5,1.4,0.3000,12.08,221.33,264.68,19.52,23.71,,
3791249,,N,2458096.5,1.983,0.5624,8.77,228.44,260.91,345.97,25.20,,
3791250,,N,2460600.5,2.514,0.5499,6.34,328.99,72.52,267.48,23.69,,
3791252,,N,2460600.5,1.066,0.1855,20.69,275.28,257.51,4.58,24.60,,
3791278,,N,2460600.5,1.056,0.2215,10.29,111.56,76.70,26.89,24.90,,
3791283,,N,2460600.5,1.41,0.4877,26.46,199.85,95.95,124.19,19.89,,
3791281,,N,2460600.5,2.287,0.5019,45.08,212.96,336.90,325.14,18.41,,
3791280,,N,2460600.5,2.578,0.5799,20.67,3.33,21.03,245.14,19.90,,
3791287,,N,2458099.5,1.948,0.5617,9.67,222.77,265.86,346.90,23.50,,
3791286,,N,2460600.5,1.139,0.1216,18.12,163.61,258.20,241.83,25.28,,
3791288,,N,2460600.5,1.863,0.4828,1.69,355.20,34.36,265.01,23.68,,
3791285,,N,2460600.5,1.356,0.3410,5.97,242.50,275.83,73.88,22.14,,
3791279,,N,2458097.5,2.384,0.5629,32.86,18.39,77.50,356.32,23.60,,
3791282,,N,2460600.5,1.972,0.4506,4.36,163.86,281.94,169.22,24.40,,
3791290,,N,2458097.5,1.596,0.4349,1.98,207.37,167.92,24.86,25.80,,
3791289,,Y,2460600.5,1.994,0.6637,16.93,82.15,266.30,175.25,21.30,,
3791294,,N,2460600.5,1.336,0.3042,9.97,109.73,252.82,200.83,24.20,,
3791292,,N,2458098.5,2.879,0.6360,12.09,24.42,79.47,355.38,25.00,,
3791291,,N,2460600.5,1.133,0.3645,14.52,93.73,218.34,322.55,22.49,,
3791297,,N,2460600.5,2.849,0.5827,18.97,201.94,237.19,155.58,19.43,,
3791295,,N,2460600.5,2.821,0.6304,9.39,2.21,80.38,161.07,24.50,,
3791296,,N,2460600.5,0.942,0.1591,2.33,56.48,233.57,313.12,26.00,,
3791298,,N,2460600.5,1.24,0.1565,12.20,151.41,249.62,12.97,25.30,,
3791302,,N,2460600.5,1.511,0.5764,7.82,5.87,340.03,280.05,21.65,,
3791299,,N,2458101.5,2.359,0.5598,5.47,350.88,84.63,2.18,24.90,,
3791300,,N,2458101.5,1.568,0.5798,6.86,101.39,70.38,330.95,24.40,,
3791303,,N,2460600.5,1.044,0.1708,12.13,264.06,261.76,84.81,27.20,,
3791304,,N,2458101.5,1.911,0.4947,5.15,152.14,263.40,8.16,27.30,,
3791336,,N,2458099.5,2.139,0.6738,10.81,29.35,134.95,342.85,23.10,,
3791334,,N,2460600.5,3.063,0.5992,23.07,301.94,86.72,109.27,21.10,,
3791337,,N,2460600.5,2.847,0.5621,9.82,161.66,268.39,157.98,22.40,,
3791335,,N,2458101.5,1.568,0.3699,33.39,112.76,258.41,31.43,23.10,,
3791338,,N,2460600.5,1.904,0.4815,4.78,354.93,70.12,222.67,25.60,,
3791343,,N,2460600.5,1.213,0.4256,20.05,245.64,87.91,113.67,20.60,,
3791340,,N,2458106.5,2.51,0.7928,3.58,282.82,66.20,12.85,23.14,,
3791342,,N,2460600.5,0.9976,0.2150,27.20,284.30,269.16,221.42,24.50,,
3791339,,N,2460600.5,1.825,0.4522,2.09,19.53,57.89,279.20,24.60,,
3791346,,N,2458100.5,1.705,0.5105,25.66,118.15,260.77,19.26,26.20,,
3791341,,N,2460600.5,2.016,0.5062,4.89,194.34,261.13,136.09,27.40,,
3791344,,N,2460600.5,1.615,0.3851,15.03,161.94,261.47,127.83,27.10,,
3791345,,N,2460600.5,1.576,0.3554,2.84,332.39,81.41,174.70,25.80,,
3791347,,N,2458102.5,2.617,0.6254,3.27,21.46,81.02,356.36,27.90,,
3792421,,N,2458099.5,2.455,0.7905,43.19,341.40,230.19,340.80,19.60,,
3792428,,N,2460600.5,2.756,0.7053,19.69,205.10,3.37,164.97,18.65,,
3792429,,N,2458102.5,1.698,0.6411,3.71,297.93,45.98,23.46,23.00,,
3792424,,N,2458103.5,2.4,0.5867,7.50,318.76,81.70,9.49,25.60,,
3792427,,N,2460600.5,1.239,0.0795,5.43,88.13,90.16,258.08,22.37,,
3792425,,N,2460600.5,1.627,0.2901,33.83,344.45,87.90,110.40,22.20,,
3792430,,N,2460600.5,1.638,0.4704,7.27,67.27,95.94,66.11,23.22,,
3792437,,N,2460600.5,1.274,0.3259,4.52,76.06,103.45,218.83,23.10,,
3792436,,N,2458102.5,1.581,0.3244,52.83,169.95,259.62,4.97,23.09,,
3792431,,N,2460600.5,1.744,0.5119,3.31,234.86,282.34,322.68,23.20,,
3792433,,N,2458102.5,1.879,0.5577,3.36,291.20,88.23,17.14,26.30,,
3792439,,N,2458103.5,1.511,0.3845,32.86,239.14,263.03,333.02,25.30,,
3792434,,N,2460600.5,2.165,0.5921,3.23,231.80,257.93,42.63,25.50,,
3792432,,N,2458103.5,2.038,0.6101,8.43,67.34,81.76,345.29,26.60,,
3792438,,N,2460600.5,1.165,0.4473,2.08,101.04,83.50,108.84,26.20,,
3792435,,N,2458103.5,1.342,0.5325,14.37,267.68,82.06,35.00,24.90,,
3792463,,N,2458103.5,1.875,0.4600,1.35,149.52,268.70,8.14,26.40,,
3792455,,N,2460600.5,2.17,0.4987,22.02,242.54,104.95,85.19,20.03,,
3792460,,N,2460600.5,1.22,0.1634,7.49,196.85,298.10,0.17,22.63,,
3792464,,N,2458128.5,1.821,0.7872,25.83,229.66,73.79,47.19,20.00,,
3792456,,N,2460600.5,1.521,0.3404,5.44,204.00,254.02,226.44,23.60,,
3792459,,N,2460600.5,1.524,0.3809,42.15,91.02,274.56,265.59,20.18,,
3792457,,N,2460600.5,2.11,0.4482,7.48,63.50,97.73,62.57,20.11,,
3792458,,N,2460600.5,2.691,0.6451,25.38,64.27,79.79,185.82,21.10,,
3792467,,N,2460600.5,2.196,0.4148,21.46,107.30,287.50,70.74,18.85,,
3792462,,N,2460600.5,1.453,0.3004,1.60,199.10,249.69,321.40,25.50,,
3792461,,N,2460600.5,1.375,0.2916,1.82,21.34,90.87,71.51,28.60,,
3794973,,N,2460600.5,2.711,0.6194,4.00,182.81,262.29,191.51,26.70,,
3794960,,N,2458108.5,2.709,0.5964,15.69,295.22,91.12,10.78,21.50,,
3794972,,N,2458108.5,1.164,0.1508,17.47,319.33,88.27,29.21,25.60,,
3794958,,N,2458112.5,2.262,0.5186,3.95,325.97,121.64,0.05,23.90,,
3794961,,N,2458108.5,1.603,0.4772,1.41,193.34,181.70,26.22,25.30,,
3794962,,N,2460600.5,0.9647,0.2356,2.69,226.22,103.30,165.19,26.90,,
3794964,,N,2458112.5,1.295,0.2625,2.63,169.43,205.78,46.07,23.49,,
3794969,,N,2460600.5,1.077,0.0996,3.23,141.86,264.62,74.13,30.00,,
3794970,,N,2460600.5,1.632,0.3844,5.08,328.56,98.35,107.51,24.90,,
3794963,,N,2460600.5,1.399,0.2142,18.54,34.45,78.98,29.33,21.96,,
3794966,,N,2460600.5,1.18,0.3355,9.95,49.87,297.01,179.93,22.50,,
3794976,,Y,2460600.5,1.808,0.5238,15.82,307.90,87.05,306.02,21.24,,
3794974,,N,2460600.5,1.326,0.3712,6.07,296.79,85.47,201.05,27.40,,
3794968,,N,2458109.5,0.9367,0.2011,27.51,219.21,93.80,121.56,24.90,,
3794977,,N,2458108.5,1.129,0.4504,9.42,262.14,84.59,50.69,24.81,,
3794978,,N,2458111.5,1.718,0.4378,15.53,339.65,84.00,10.84,25.20,,
3794967,,N,2460600.5,1.37,0.3099,9.18,315.67,92.62,112.14,26.10,,
3794965,,N,2458110.5,1.943,0.5545,5.13,251.60,131.12,18.97,23.20,,
3794971,,N,2460600.5,1.135,0.1347,25.00,210.35,268.33,208.16,25.70,,
3794975,,N,2458109.5,2.19,0.7095,12.09,77.63,98.23,345.27,24.57,,
3794979,,Y,2460600.5,2.47,0.6224,17.89,140.61,274.19,277.77,19.98,,
3794982,,N,2460600.5,0.9898,0.0526,5.55,87.65,91.50,246.42,28.90,,
3794981,,N,2458111.5,1.948,0.6986,1.93,232.80,126.32,18.05,24.80,,
3794980,,N,2460600.5,1.566,0.3925,7.49,36.02,91.04,156.89,26.20,,
3794984,,N,2460600.5,2.484,0.6005,17.78,145.51,283.23,274.60,21.50,,
3794986,,N,2458112.5,1.608,0.3807,6.99,167.97,251.55,14.01,24.90,,
3794985,,N,2460600.5,1.033,0.0945,10.58,251.96,107.75,263.11,23.50,,
3794987,,N,2460600.5,0.845,0.3162,1.90,313.93,277.31,167.79,28.70,,
3795030,,N,2458129.5,2.573,0.5794,60.32,350.79,111.55,1.79,19.11,,
3795027,,N,2460600.5,0.7525,0.3489,8.65,19.57,267.93,307.25,28.20,,
3795032,,N,2460600.5,1.691,0.6086,14.39,313.23,239.26,5.70,21.29,,
3795035,,N,2460600.5,1.736,0.4037,5.10,141.33,245.54,34.85,20.53,,
3795029,,N,2460600.5,1.539,0.3714,2.88,169.21,258.54,214.49,25.30,,
3795034,,N,2460600.5,2.853,0.6888,9.15,35.69,104.42,137.46,22.94,,
3795031,,N,2458112.5,2.237,0.5865,7.62,262.26,243.77,347.17,23.70,,
3795026,,N,2460600.5,0.965,0.4436,7.05,134.43,98.47,336.61,23.90,,
3795028,,N,2460600.5,1.208,0.1749,11.25,48.17,93.13,13.51,25.00,,
3795036,,N,2460600.5,1.095,0.1133,2.20,137.00,273.70,14.77,26.50,,
3795033,,N,2460600.5,2.509,0.5742,10.36,357.73,102.01,252.80,24.40,,
3795057,,N,2460600.5,2.226,0.8337,7.35,27.34,189.20,348.44,20.60,,
3795054,,N,2460600.5,2.822,0.5721,29.35,13.99,101.19,147.08,19.20,,
3795055,,N,2460600.5,1.856,0.4568,3.01,340.05,96.61,254.71,24.40,,
3795056,,N,2458112.5,1.321,0.0586,11.87,54.27,96.15,300.93,23.00,,
3795051,,N,2460600.5,1.681,0.3871,8.59,261.11,131.08,70.81,23.60,,
3795052,,N,2458112.5,1.409,0.2892,11.35,153.87,273.36,15.23,25.80,,
3795059,,N,2458109.5,1.548,0.3916,6.19,222.88,272.93,341.34,24.80,,
3795060,,N,2460600.5,2.311,0.5550,9.02,192.79,276.65,334.14,24.00,,
3795062,,N,2460600.5,1.145,0.2492,8.17,256.90,279.42,146.09,23.66,,
3795058,,N,2458112.5,1.251,0.1858,24.17,145.91,277.49,21.69,24.90,,
3795061,,N,2460600.5,1.47,0.4087,2.17,55.24,94.72,271.88,28.10,,
3795078,,Y,2460600.5,2.821,0.7086,6.22,110.82,103.89,128.82,19.30,,
3795079,,N,2460600.5,1.645,0.4742,23.26,200.50,288.71,53.95,19.66,,
3795080,,N,2460600.5,1.69,0.4618,25.53,87.29,90.47,355.25,21.80,,
3795082,,N,2458112.5,1.387,0.1157,20.97,348.74,88.43,18.60,22.25,,
3795087,,N,2460600.5,2.527,0.6430,0.93,2.70,45.79,259.37,24.04,,
3795081,,N,2458113.5,1.709,0.6754,4.27,88.50,103.89,336.45,23.80,,
3795084,,N,2458114.5,1.308,0.1912,25.07,5.72,95.69,356.70,24.70,,
3795085,,N,2458113.5,1.336,0.1469,26.25,11.17,100.71,352.11,23.60,,
3795088,,N,2460600.5,1.799,0.4588,5.83,344.71,91.80,301.45,26.10,,
3795089,,N,2460600.5,2.487,0.6042,1.53,127.62,355.61,257.23,23.10,,
3795086,,N,2458113.5,0.9972,0.1684,16.98,142.56,91.84,236.10,24.70,,
3795096,,N,2458112.5,2.064,0.5323,1.12,76.82,75.16,344.62,24.10,,
3795099,,N,2458113.5,1.405,0.3929,7.26,221.73,159.40,38.60,23.05,,
3795103,,N,2460600.5,1.27,0.3118,6.77,357.41,186.54,215.75,23.00,,
3795097,,N,2458113.5,2.098,0.5350,6.02,249.68,248.34,347.55,25.00,,
3795098,,N,2460600.5,2.458,0.6277,8.50,324.69,92.96,284.06,22.84,,
3795101,,N,2458116.5,1.243,0.1526,21.76,134.30,273.38,36.18,24.40,,
3795102,,N,2460600.5,1.888,0.4405,6.38,210.51,272.53,214.31,23.20,,
3795104,,N,2458114.5,1.616,0.4667,10.69,56.78,94.94,339.92,27.60,,
3795100,,N,2458114.5,2.778,0.7045,0.36,57.00,341.27,8.51,25.90,,
3795107,,N,2460600.5,1.313,0.3958,29.18,281.60,290.26,124.92,22.69,,
3795111,,N,2460600.5,0.955,0.1624,11.22,20.69,307.06,224.13,23.30,,
3795109,,N,2460600.5,1.945,0.7648,12.84,168.27,39.20,160.19,19.90,,
3795110,,N,2460600.5,1.156,0.1184,24.00,353.58,288.38,345.25,22.38,,
3795108,,N,2458115.5,1.521,0.3527,27.14,30.64,96.10,345.97,25.07,,
3795112,,N,2460600.5,1.864,0.5372,6.30,127.80,277.00,256.89,28.00,,
3795120,,N,2460600.5,2.733,0.7132,19.07,172.24,187.60,196.02,20.81,,
3795127,,N,2458113.5,1.992,0.6232,12.22,234.54,141.66,21.74,22.80,,
3795126,,N,2460600.5,2.052,0.8433,19.09,187.05,148.99,137.58,20.15,,
3795125,,N,2458116.5,1.275,0.3739,4.30,81.75,93.20,320.89,27.30,,
3795128,,N,2458116.5,1.839,0.6731,4.33,268.13,279.03,340.91,28.50,,
3795124,,N,2460600.5,1.27,0.1461,6.46,178.95,296.39,261.06,23.60,,
3795122,,N,2460600.5,0.8558,0.2246,14.52,15.20,284.31,2.00,24.70,,
3795121,,N,2458116.5,2.32,0.6510,2.18,85.86,313.75,11.28,24.80,,
3795129,,N,2458121.5,0.7833,0.2945,3.29,351.70,290.66,180.91,26.30,,
3795123,,N,2458115.5,0.7561,0.3996,8.11,336.31,282.50,223.75,24.56,,
3795140,,N,2460600.5,1.939,0.5968,24.02,146.57,78.85,142.42,18.78,,
3795141,,N,2460600.5,2.264,0.4771,49.76,251.00,254.07,341.06,20.90,,
3795139,,N,2460600.5,2.573,0.6215,24.71,312.35,105.09,242.01,22.10,,
3795150,,N,2460600.5,1.298,0.2878,11.33,17.52,157.24,166.29,22.33,,
3795153,,N,2460600.5,3.053,0.5759,15.59,296.76,178.00,94.93,21.10,,
3795152,,N,2460600.5,1.374,0.3207,24.00,244.21,314.40,30.75,19.25,,
3795154,,N,2460600.5,1.316,0.3216,24.54,293.87,97.38,219.27,21.87,,
3795151,,N,2458131.5,1.353,0.4572,10.50,279.85,93.59,45.61,25.50,,
3795155,,N,2458117.5,1.917,0.4950,4.62,338.47,98.61,6.93,25.80,,
3796283,,N,2460600.5,2.312,0.4545,18.58,204.29,261.12,331.96,22.90,,
3796291,,N,2460600.5,1.928,0.3884,10.52,324.99,221.96,134.25,20.20,,
3796290,,N,2458121.5,0.9887,0.4060,17.08,124.32,94.21,286.64,24.60,,
3796289,,N,2458115.5,1.671,0.5023,3.35,97.48,284.72,25.27,23.97,,
3796292,,Y,2460600.5,0.8657,0.3827,32.30,303.26,321.31,30.35,19.68,,
3796303,,N,2458112.5,1.226,0.3254,2.20,333.34,37.36,48.62,25.66,,
3796304,,N,2460600.5,0.8971,0.2562,3.11,52.05,268.37,111.13,27.30,,
3796306,,N,2460600.5,2.103,0.4851,4.24,303.43,26.86,161.94,19.01,,
3797759,,N,2458112.5,1.228,0.1956,3.09,180.86,274.20,358.80,28.36,,
3797760,,N,2458113.5,1.914,0.4832,2.18,189.59,273.55,357.41,28.14,,
3797761,,N,2458116.5,2.376,0.7062,2.35,102.22,278.83,12.25,27.74,,
3796294,,N,2460600.5,3.004,0.6048,35.65,327.38,115.35,115.32,20.20,,
3796295,,N,2460600.5,2.515,0.6365,12.44,323.05,101.14,258.92,22.68,,
3796293,,N,2460600.5,1.421,0.3063,5.67,195.42,303.57,343.07,24.54,,
3797404,,Y,2460600.5,1.691,0.3993,13.38,21.52,355.76,63.40,20.59,,
3797408,,N,2458124.5,2.485,0.5526,4.68,318.73,123.51,3.30,22.80,,
3797409,,N,2460600.5,1.397,0.1945,6.07,216.61,241.96,37.21,23.53,,
3797405,,N,2460600.5,2.548,0.8938,9.04,212.52,27.87,217.74,19.61,,
3797410,,N,2460600.5,1.362,0.1008,33.46,134.99,278.46,132.05,20.98,,
3797407,,N,2460600.5,2.552,0.6491,1.77,7.63,41.95,249.12,23.20,,
3797406,,N,2460600.5,2.457,0.5951,13.96,95.74,58.83,262.75,21.20,,
3797421,,N,2458128.5,2.273,0.7787,13.38,278.20,295.46,344.68,23.01,,
3797422,,N,2460600.5,1.735,0.6370,5.82,291.51,78.79,9.93,22.10,,
3797448,,Y,2460600.5,2.205,0.5444,35.79,192.25,338.56,9.86,19.95,,
3797457,,N,2460600.5,1.248,0.6372,12.52,354.18,232.90,253.67,20.95,,
3797449,,N,2458120.5,1.068,0.0658,23.87,68.16,105.18,294.57,23.60,,
3797450,,N,2458132.5,1.28,0.1545,21.72,292.30,116.85,49.89,23.70,,
3797452,,N,2460600.5,2.066,0.4251,8.52,175.60,306.94,96.21,24.10,,
3797455,,N,2458130.5,2.431,0.6189,12.07,219.45,294.93,351.61,25.80,,
3797456,,N,2460600.5,1.002,0.1543,22.07,284.25,290.06,180.21,24.80,,
3797453,,N,2458131.5,1.265,0.2503,33.52,253.48,294.39,311.13,24.30,,
3797454,,N,2460600.5,1.472,0.3020,17.14,354.23,111.51,286.46,24.70,,
3797459,,N,2460600.5,2.217,0.6649,1.80,153.86,47.65,355.46,22.10,,
3797458,,N,2458132.5,1.661,0.3864,10.15,352.73,109.89,4.49,25.50,,
3797461,,N,2460600.5,0.9714,0.2258,5.44,287.23,293.09,300.00,28.60,,
3797460,,N,2460600.5,1.87,0.4789,4.06,344.42,110.27,237.20,27.70,,
3797462,,N,2460600.5,1.823,0.4734,9.39,206.65,292.14,259.81,27.40,,
3797475,,N,2458136.5,2.573,0.5926,12.63,21.06,44.67,8.59,21.27,,
3797474,,N,2460600.5,1.206,0.0673,7.70,170.13,133.52,210.34,22.89,,
3797471,,N,2458130.5,1.106,0.2032,5.54,281.27,106.71,59.13,26.00,,
3797473,,N,2458131.5,2.762,0.6387,1.59,88.93,334.03,9.22,24.60,,
3797472,,N,2460600.5,1.148,0.1294,4.83,342.69,109.30,195.50,27.70,,
3797476,,N,2458134.5,2.338,0.5706,3.36,351.93,102.72,5.15,25.70,,
3797478,,N,2460600.5,1.148,0.2470,6.09,302.81,94.22,229.96,24.37,,
3797477,,N,2458133.5,2.078,0.4678,11.74,357.00,117.03,0.39,25.10,,
3797479,,N,2458135.5,2.497,0.5902,0.38,99.31,39.06,355.84,24.60,,
3797496,,N,2458131.5,1.067,0.1262,23.72,222.33,110.37,131.90,24.00,,
3797488,,N,2460600.5,1.429,0.2366,13.42,190.31,286.39,340.12,23.30,,
3797492,,N,2458133.5,1.647,0.4066,5.25,325.05,112.48,14.78,27.00,,
3797493,,N,2458132.5,1.124,0.4827,25.59,245.21,112.81,58.81,25.00,,
3797497,,N,2460600.5,2.475,0.6159,3.50,323.55,114.79,270.89,25.90,,
3797489,,N,2458136.5,1.274,0.1400,3.43,349.48,106.17,16.85,25.60,,
3797490,,N,2458132.5,1.286,0.4504,24.04,87.14,293.97,42.59,25.40,,
3797491,,N,2460600.5,0.9289,0.2189,13.57,199.14,112.17,352.71,22.90,,
3797494,,N,2460600.5,2.447,0.6336,10.38,131.62,297.81,283.99,24.70,,
3797495,,N,2460600.5,1.285,0.1816,7.75,154.34,349.98,211.97,24.00,,
3797498,,N,2460600.5,1.261,0.2942,10.49,236.01,296.02,244.58,26.10,,
3797668,,N,2460600.5,1.424,0.3133,9.24,210.82,288.30,337.81,25.00,,
3797676,,N,2460600.5,0.9768,0.3653,10.36,114.77,114.02,282.53,25.30,,
3797673,,N,2460600.5,1.364,0.3865,1.74,56.63,125.55,53.32,25.10,,
3797669,,N,2460600.5,1.065,0.1691,7.75,280.22,114.17,111.77,25.90,,
3797671,,N,2458134.5,1.622,0.6587,5.96,257.16,117.51,26.57,25.20,,
3797670,,N,2460600.5,1.268,0.2143,16.61,329.49,115.33,283.36,25.70,,
3797675,,N,2460600.5,1.528,0.3651,7.28,46.29,101.17,192.56,24.86,,
3797674,,N,2460600.5,1.083,0.2029,12.46,82.53,300.01,68.98,24.40,,
3797677,,N,2460600.5,1.727,0.4346,7.85,144.24,302.85,1.56,25.40,,
3797678,,N,2460600.5,2.071,0.4910,5.42,319.97,138.95,100.31,25.10,,
3797688,,N,2460600.5,2.092,0.7839,8.30,227.58,128.17,105.15,22.36,,
3797690,,N,2460600.5,1.537,0.7178,13.05,49.91,307.94,232.93,21.79,,
3797689,,N,2460600.5,1.1,0.3089,8.62,279.39,305.99,238.94,23.70,,
3797687,,N,2460600.5,1.075,0.1505,5.35,72.99,128.80,312.27,26.90,,
3797696,,Y,2460600.5,2.38,0.7377,11.51,286.21,96.31,330.36,18.97,,
3797691,,N,2458133.5,1.931,0.7105,2.53,272.77,303.42,340.10,25.18,,
3797697,,N,2458134.5,1.595,0.6238,2.35,260.34,317.46,331.18,24.91,,
3797698,,Y,2460600.5,0.9171,0.1162,21.67,51.06,288.84,8.99,21.16,,
3797694,,N,2460600.5,1.372,0.2556,11.51,334.31,116.71,86.17,24.90,,
3797693,,N,2458135.5,2.321,0.4908,0.70,35.55,77.79,0.90,25.40,,
3797692,,N,2460600.5,2.694,0.6419,17.36,297.51,273.12,170.75,20.90,,
3797717,,N,2460600.5,2.517,0.4836,7.50,184.21,290.80,249.56,22.10,,
3797702,,N,2460600.5,1.104,0.1033,17.76,111.02,301.70,351.40,24.50,,
3797703,,N,2460600.5,1.883,0.4345,24.40,112.91,304.07,248.82,21.50,,
3797705,,N,2460600.5,2.635,0.5678,32.10,342.91,87.58,208.83,19.30,,
3797709,,N,2460600.5,1.253,0.1249,15.15,206.77,300.42,270.94,23.90,,
3797762,,N,2458127.5,1.063,0.5878,4.46,129.48,98.98,308.41,24.87,,
3797739,,N,2458134.5,1.731,0.5582,48.04,223.11,112.82,49.30,20.20,,
3797746,,N,2460600.5,1.736,0.4203,5.31,103.76,110.70,309.06,20.85,,
3797745,,N,2460600.5,1.445,0.3712,19.89,278.14,123.71,0.32,22.11,,
3797846,,N,2460600.5,1.285,0.2341,16.79,94.10,313.26,284.70,21.90,,
3797845,,N,2458136.5,1.52,0.3180,5.56,200.34,299.00,350.72,25.20,,
3797892,,N,2460600.5,2.569,0.5000,28.36,276.41,106.14,273.59,19.89,,
3797896,,N,2460600.5,1.804,0.3146,3.87,43.15,124.90,264.07,21.31,,
3797893,,N,2460600.5,2.073,0.7678,9.81,7.21,338.33,192.84,17.75,,
3799653,,N,2458133.5,2.13,0.5334,0.37,150.49,315.40,2.49,27.56,,
3799707,,N,2458138.5,2.346,0.5994,0.11,11.93,71.49,8.09,27.50,,
3799729,,N,2458133.5,1.385,0.3728,30.35,254.80,299.66,322.71,24.52,,
54282978,,N,2460600.5,2.266,0.8626,8.52,131.85,123.42,333.58,22.85,,
54361567,,N,2460600.5,2.196,0.4102,4.89,110.53,54.11,7.88,21.57,,
3797695,,N,2458135.5,1.301,0.2164,23.21,351.65,116.78,4.21,25.00,,
3797699,,N,2458137.5,2.121,0.5264,9.98,189.54,295.51,358.66,25.00,,
3797700,,N,2460600.5,1.048,0.0697,2.86,212.86,297.20,74.39,29.40,,
3797701,,N,2460600.5,1.055,0.2872,2.38,274.33,297.83,20.96,30.10,,
3797706,,N,2460600.5,1.331,0.2501,1.64,201.69,275.85,140.88,25.70,,
3797708,,N,2458135.5,1.923,0.4493,8.63,257.72,173.46,13.61,22.90,,
